wallet,credit_score,repay_to_borrow_ratio,liquidation_ratio,net_flow_usd,token_diversity,active_days,credit_tier
0x00f1ffaedf5976771535a9e0b617cdff08902143,4.821811410153328e-05,0.0,0.0,1000.0,1,1,Tier 4
0x00f978ff7b5f9e40f8cc6e01430d3aa2a2dc94a3,3.5518890103366816e-07,0.0,0.0,7.366296,1,1,Tier 4
0x01019cd3e62b46029e787d1b5485ca164365ca77,0.07385302010462337,0.0,0.0,1531644.724825,1,1,Tier 4
0x0104a2731c9a93904e5aa9168d291436ccbecb9b,1.1979111055298251e-08,0.0,0.0,0.24843591,1,1,Tier 4
0x010969abe713a15d0cac0167a04d603212d3a851,4.47635407020774e-09,0.0,0.0,0.09283552776,1,1,Tier 4
0x010d05603502ce03bb7ebb2142a687a81ffdd272,1.4569585356919297e-05,0.0,0.0,302.16,1,1,Tier 4
0x010e4b18f706362736ee86d83fc05cae5d87a1bd,4.594020457686651e-06,0.0,0.0,95.27582202848053,1,1,Tier 4
0x0117291aff6bd65ed6fde050a77c7962bb43a506,7.714898256245324e-07,0.0,0.0,16.0,1,1,Tier 4
0x011951b5341e0c9873334f7ee24796d8e0becb6f,35.574118384602095,0.0,0.0,61.39496145929399,8,1,Tier 2
0x011b0e21af3e63c156b561338b660fa92e672a02,4.740442093757835e-05,0.0,0.0,983.124741,1,1,Tier 4
0x013022c7ca735ef6ba55cd3eaccb4ebb3be484e9,15.705172508267925,0.0,0.0,2441935.140586647,1,331,Tier 3
0x0131fa175907c2d4b3926c06c3e4b01f80637e0a,3.7119772043395804e-07,0.0,0.0,7.69830441008796,1,1,Tier 4
0x0141bddf8f0d54acfeed151b456ce5cdda975faf,9.115302462235384,0.0,0.0,14094857.277909,2,72,Tier 4
0x01588785fead76cdfe104fe5a59fc1b47448d1b5,5.113868395000808,0.0,0.0,660579.6683537,2,1,Tier 4
0x015fd5b0e791bbcbe65cec906bfbb2940cbbb456,0.24109057283881932,0.0,0.0,5000000.048346,1,1,Tier 4
0x0168cb9025d006df07aadcba1cc8c942ea58cdd3,29.363378871678957,0.0,0.0,57322.08246772124,2,515,Tier 3
0x017787dbb82c8a329365bf4ab73904e630df8ba0,2.4109057050766634e-07,0.0,0.0,5.0,1,1,Tier 4
0x01793888d3e0869aa89dc1cec4728ce9fc75a6ee,4.612916271285512e-06,0.0,0.0,95.66770408257895,1,1,Tier 4
0x017e9f73cbd535337a0aae7baf44d9415e8511b9,0.03134177416599663,0.0,0.0,650000.0,1,1,Tier 4
0x018097085ca9106e38c5647ca543a4cfc397068a,11.883802834611352,0.0,0.0,0.3672881472,2,145,Tier 4
0x01820d92f8f86947ca0454789172ad60e05817fa,0.6189680708956091,0.0,0.0,5000010.0,1,9,Tier 4
0x0182c6198c7d0d51e98e5a35c388940df8d43c63,3.0274225119788684e-09,0.0,0.0,0.062786,1,1,Tier 4
0x0182c66086cf516c6e7e169c43e853151208720d,26.3391080303364,0.0,0.0,610157.3700264,1,558,Tier 3
0x01844773320e44cb7d2f4c2e8a64bc82905bf1ab,7.489358027535402e-09,0.0,0.0,0.1553225,1,1,Tier 4
0x018617e3d2a67f30201f12a53447b0b4d80250c6,2.5067847459691433e-09,0.0,0.0,0.05198844444,1,1,Tier 4
0x018eab6a7594c4e0893983ed3125f3ec61397a6c,1.3220573002575151e-08,0.0,0.0,0.274182706,1,1,Tier 4
0x019996dbc063ad8c6cb5872c44ed7d0b0a1749d7,0.009899100406763239,0.0,0.0,205298.37367588913,1,1,Tier 4
0x019ffbf2cbeec4b6fc8934498f3fc12072fed360,0.07618462028042257,0.0,0.0,1580000.0,1,1,Tier 4
0x01a62cecd7ea77763ba1a99b6483ddcd653ed99a,3.189248176045558,0.0,0.0,508691.57827168086,1,68,Tier 4
0x01b86aeebcd1ff94ac1195cfc8fd9e39db24db45,4.82065417541489e-09,0.0,0.0,0.099976,1,1,Tier 4
0x01bdfd66cbdf2a6be54c0a610cd5b69ad8a470f6,4.6849684023331755e-09,0.0,0.0,0.097162,1,1,Tier 4
0x01c48862ae9de8306dde1c29c2c7131e40817b84,23.133304470777986,0.0,0.0,7594949.131503507,1,483,Tier 3
